Transaction_ID,Date,Customer_ID,Product_ID,Quantity,Unit_Price,Total_Cost,Discount_Rate,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country,Customer_Name,Customer_Phone,Customer_Email,Customer_Address,Product_List_Title
200,2020-01-01 20:32:25.945945945,1086,536,3,120.43682132331526,8265.37454940804,0.2,Online,High,WH-3,2-Day,Cancelled,Neutral,False,Wrong Item,Wire Transfer,False,West,Canada,Customer 200,+1-652-572-9306,customer.200.78@example.com,"275 Second St, Phoenix, USA",Product 53
321,2020-01-02 06:55:08.108108108,1078,523,6,475.7249935818949,4047.8504787607,,Reseller,Critical,WH-1,Overnight,Backorder,Satisfied,True,Damaged,PayPal,True,South,Mexico,Customer 321,+1-311-186-5760,customer.321.13@sample.com,"478 Third St, New York, USA",Product 33
989,2020-01-06 08:12:58.378378378,1077,535,3,146.40055601470172,,0.05,Direct,Critical,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,PayPal,True,West,Canada,Customer 989,+1-922-606-9032,customer.989.99@example.com,"843 Second St, Phoenix, USA",Product 6
682,2020-01-07 22:03:14.594594594,1027,546,6,19.373193554270635,8194.281992877543,,Reseller,Medium,WH-1,Express,Pending,Unsatisfied,False,Wrong Item,Cash,True,South,Canada,Customer 682,+1-237-853-5808,customer.682.66@demo.com,"153 Main St, Phoenix, USA",Product 68
484,2020-01-07 07:08:06.486486486,1052,556,8,193.22131303627867,8331.32924886882,0.2,Direct,Low,WH-2,2-Day,Delivered,Satisfied,True,Late,Cash,False,South,Mexico,Customer 484,+1-986-360-9109,customer.484.3@sample.com,"264 Second St, New York, USA",Product 89
483,2020-01-01 21:11:21.081081081,1074,549,8,37.72697151189065,6894.375243656562,0.05,Reseller,Medium,WH-3,2-Day,Backorder,Unsatisfied,True,Not Specified,PayPal,False,South,USA,Customer 483,+1-775-800-3339,customer.483.31@example.com,"629 Third St, Los Angeles, USA",Product 27
757,2020-01-01 21:11:21.081081081,1061,547,7,193.97977494858517,4611.329101247279,0.15,Direct,Critical,WH-3,Express,Cancelled,Neutral,False,Late,Credit Card,True,South,Canada,Customer 757,+1-994-460-4335,customer.757.80@demo.com,"598 Main St, Los Angeles, USA",Product 83
985,2020-01-06 00:25:56.756756756,1040,542,1,486.8076309770262,7623.669347238553,,Direct,Critical,WH-2,Overnight,Delivered,Neutral,True,Not Specified,Credit Card,False,North,Canada,Customer 985,+1-995-296-7191,customer.985.31@demo.com,"387 Main St, Los Angeles, USA",Product 13
795,2020-01-08 03:53:30.810810810,1014,533,1,455.0319594631582,6194.880826757808,,Direct,Medium,WH-1,Express,Delivered,Neutral,True,Late,PayPal,False,East,Mexico,Customer 795,+1-433-242-4481,customer.795.34@sample.com,"130 Third St, Los Angeles, USA",Product 54
459,2020-01-06 22:16:12.972972973,1040,529,8,339.62446716236,5933.960843694132,,Partner,Critical,WH-3,Overnight,Pending,Unsatisfied,True,Late,Credit Card,False,South,USA,Customer 459,+1-896-264-5828,customer.459.35@demo.com,"526 Third St, Phoenix, USA",Product 35
